,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
443,ishigaki,100,JP,1567281233,80,24.34,124.16,28.95,8.04
444,kibakwe,0,TZ,1567281233,68,-6.71,36.37,18.75,3.68
445,marzuq,90,YE,1567281233,42,14.4,46.47,27.75,0.96
446,axim,100,GH,1567281234,91,4.87,-2.24,24.55,4.54
448,iberia,52,PE,1567281235,31,-11.41,-69.49,35.05,2.17
449,hervey bay,0,AU,1567281235,87,-25.3,152.85,13.33,3.1
451,rodino,0,RU,1567281235,58,52.5,80.2,11.25,5
452,norman wells,75,CA,1567281236,61,65.28,-126.83,10,3.6
455,soreang,81,ID,1567281236,72,-7.03,107.52,17.55,1.17
456,vanimo,78,PG,1567281237,83,-2.67,141.3,26.65,6.01
457,nemuro,0,JP,1567281237,89,43.32,145.57,17.25,4.45
458,posse,0,BR,1567281237,23,-14.08,-46.36,30.05,2.84
459,harrisburg,1,US,1567281238,32,40.27,-76.89,29,3.1
461,tongliao,83,CN,1567281238,66,43.61,122.27,18.55,4.78
462,lazaro cardenas,75,MX,1567281238,39,28.39,-105.62,28,4.6
463,san cristobal,56,HN,1567281239,56,14.68,-86.92,28.55,0.65
464,srednekolymsk,95,RU,1567281239,61,67.46,153.71,3.55,0.98
465,victor harbor,75,AU,1567281239,93,-35.55,138.62,10.56,7.2
466,makakilo city,1,US,1567281240,62,21.35,-158.09,31,3.1
467,abha,0,SA,1567281240,43,18.22,42.5,25,2.1
468,bay roberts,40,CA,1567281240,64,47.58,-53.28,24.44,7.2
469,ishim,100,RU,1567281240,92,56.11,69.47,6.95,5.42
470,sitka,100,US,1567281241,63,37.17,-99.65,27.22,2.68
471,yazman,0,SY,1567281241,44,36.74,38.46,23.35,1.93
472,hobyo,23,SO,1567281241,83,5.35,48.53,24.95,12.02
473,dingli,90,IN,1567281242,55,28.39,75.51,32.65,3.35
474,poum,20,MK,1567281242,52,41.28,20.71,19,1.5
475,jumla,51,NP,1567281242,94,29.28,82.18,11.75,1.45
476,edinburg,40,US,1567281243,32,26.3,-98.16,37.78,3.1
478,moindou,75,NC,1567281243,100,-21.69,165.68,20,3.75
479,ondangwa,31,NA,1567281244,11,-17.91,15.98,20.75,6.05
480,bourail,100,NC,1567281244,89,-21.57,165.5,21.85,3.11
482,wanning,0,AT,1567281244,69,48.64,13.53,23,1
483,kaeo,100,NZ,1567281245,100,-35.1,173.78,6.67,1.81
484,ilembula,0,TZ,1567281245,58,-8.9,34.58,16.75,4.3
486,kurilsk,52,RU,1567281246,96,45.23,147.88,16.05,5.61
487,amapa,20,HN,1567281246,50,15.09,-87.97,35,5.1
488,abu dhabi,0,AE,1567281246,53,24.47,54.37,35,1.5
489,muravlenko,90,RU,1567281247,96,63.79,74.5,8.45,6.38
490,cristalina,17,BR,1567281006,28,-16.77,-47.61,28.35,2.02
491,bandar-e anzali,90,IR,1567281247,93,37.47,49.46,19,3.1
492,lucapa,100,AO,1567281248,69,-8.42,20.74,21.35,1.55
493,thanh hoa,20,VN,1567281248,100,10.21,106.33,24,2.42
494,khani,75,GE,1567281248,100,41.96,42.96,19,2.6
495,general roca,0,AR,1567281249,21,-39.03,-67.58,16,5.1
496,jadu,58,LY,1567281249,68,31.95,12.03,23.85,2.89
498,seoul,75,KR,1567281211,106,37.57,126.98,20,1.5
499,merritt island,20,US,1567281250,29,28.54,-80.67,33.33,5.7
500,itarema,27,BR,1567281250,69,-2.92,-39.92,25.55,4.98
501,belmonte,0,PT,1567281251,81,40.36,-7.35,30,2.24
502,panzhihua,100,CN,1567281251,96,26.59,101.72,17.15,1.25
503,soure,40,PT,1567281251,88,40.06,-8.63,18.33,5.7
504,san rafael,5,AR,1567281243,23,-34.61,-68.33,15.65,4.77
505,ranong,97,TH,1567281252,78,9.96,98.62,27.55,10.9
506,sao filipe,100,CV,1567281252,81,14.9,-24.5,26.15,1.61
507,cam ranh,40,VN,1567281253,70,11.92,109.15,30,1
508,bonavista,89,CA,1567281253,71,48.65,-53.11,22.78,5.36
509,frydlant nad ostravici,0,CZ,1567281253,73,49.59,18.36,23.33,1
511,floro,100,NO,1567281254,68,61.6,5.03,18.33,8.2
512,tambun,20,ID,1567281254,69,-6.26,107.07,26,1.5
514,myitkyina,52,MM,1567281258,77,25.38,97.4,24.45,0.89
515,valparaiso,75,US,1567281258,47,41.47,-87.06,25.56,3.6
516,klichka,0,RU,1567281258,89,50.44,118,9.55,1.34
517,majene,0,ID,1567281259,83,-3.54,118.97,26.05,11.26
518,nago,40,IT,1567281259,78,45.88,10.89,25,4.6
519,san ramon,40,NI,1567281259,58,12.92,-85.84,28,6.2
520,sain alto,31,MX,1567281260,31,23.58,-103.25,23.25,4.9
521,shirokiy,0,RU,1567281260,73,53.87,39.17,10,0.76
522,misasi,57,TZ,1567281260,70,-3.01,33.09,21.95,2.45
523,alice springs,0,AU,1567281261,22,-23.7,133.88,7,2.1
524,nova olimpia,44,BR,1567281261,19,-14.8,-57.29,35.15,1.29
525,havre-saint-pierre,20,CA,1567281261,72,50.23,-63.6,16,10.8
526,kearney,90,US,1567281261,78,40.7,-99.08,22.22,4.1
527,coihaique,20,CL,1567281224,46,-45.58,-72.07,10,4.1
528,ust-kuyga,2,RU,1567281262,57,70,135.55,4.05,2.11
529,longyan,93,CN,1567281262,96,25.1,117.03,20.55,1.03
530,beba,75,CU,1567281263,58,22.44,-79.73,31,2.6
531,raudeberg,100,NO,1567281263,68,61.99,5.14,18.33,8.2
532,vila velha,0,BR,1567281263,58,-3.71,-38.6,30,5.7
533,kavieng,47,PG,1567281264,81,-2.57,150.8,27.55,6.6
534,karasjok,31,NO,1567281264,100,69.47,25.52,10,2.1
535,tomball,75,US,1567281008,55,30.1,-95.62,36.11,7.7
536,dudinka,0,RU,1567281265,93,69.41,86.18,10,5
537,narrabri,0,AU,1567281265,81,-30.33,149.78,10,5.7
538,alta floresta,81,BR,1567281265,21,-9.87,-56.08,33.75,0.56
539,bay saint louis,40,US,1567281266,43,30.31,-89.33,34.44,3.6
540,flin flon,40,CA,1567281266,37,54.77,-101.88,21,3.1
541,saint-georges,5,CA,1567281221,49,46.12,-70.67,18.89,3.58
542,tam ky,75,VN,1567281267,94,15.57,108.48,25,0.5
543,hovd,0,NO,1567281267,52,63.83,10.7,21,10.8
544,boden,87,SE,1567281268,87,65.83,21.69,16,1.5
545,kalanguy,0,RU,1567281268,88,51.01,116.52,9.65,1.86
546,te anau,53,NZ,1567281268,82,-45.41,167.72,6.65,3.15
547,huntington,1,US,1567281269,36,40.87,-73.43,28.33,2.6
548,carlet,0,ES,1567281269,48,39.23,-0.52,29,1.5
549,vilhena,40,BR,1567281269,34,-12.74,-60.15,34,2.6
550,port moresby,100,PG,1567281270,77,-9.47,147.16,23.55,9.25
551,tarata,0,PE,1567281270,63,-17.47,-70.03,18,4.1
552,estrela,74,BR,1567281270,97,-29.5,-51.96,16.11,2.68
554,chake chake,0,TZ,1567281271,80,-5.25,39.77,25.25,6.79
556,whitianga,100,NZ,1567281271,96,-36.83,175.7,7.22,0.73
557,hidrolandia,78,BR,1567281272,35,-4.41,-40.44,31.05,1.87
558,inhambane,0,MZ,1567281272,83,-23.87,35.38,24,9.3
559,arzgir,0,RU,1567281272,28,45.37,44.21,18.35,2.72
560,kishi,100,NG,1567281273,95,9.08,3.85,22.65,2.82
561,nabire,98,ID,1567281273,93,-3.36,135.5,20.65,2.82
562,ballina,40,IE,1567281273,81,54.11,-9.15,12.78,5.7
563,port hedland,42,AU,1567281273,100,-20.31,118.58,18,2.1
564,kattivakkam,75,IN,1567281274,94,13.22,80.32,27,2.6
565,bayji,0,IQ,1567281274,20,34.93,43.49,31.95,6.84
566,kangaatsiaq,0,GL,1567281274,56,68.31,-53.46,6.65,4.48
567,parnamirim,20,BR,1567281275,61,-5.92,-35.27,28,6.7
568,ulladulla,0,AU,1567281275,100,-35.36,150.48,8.33,5.1
569,ntungamo,100,UG,1567281275,88,-0.87,30.27,14.85,0.71
570,norwich,0,GB,1567281276,82,52.63,1.29,18.33,1.5
573,awbari,44,LY,1567281276,17,26.59,12.77,31.35,1
574,wichian buri,100,TH,1567281277,94,15.66,101.11,23.35,1.52
575,comodoro rivadavia,40,AR,1567281277,46,-45.87,-67.48,10,6.7
576,ngunguru,99,NZ,1567281277,93,-35.62,174.5,6.67,0.45
577,manyana,0,AU,1567281277,100,-35.26,150.51,12.22,5.1
578,gold coast,0,AU,1567281151,93,-28,153.41,10.56,1.5
579,machilipatnam,100,IN,1567281278,89,16.18,81.14,25.35,4.36
580,betare oya,98,CM,1567281278,96,5.6,14.08,19.75,1.1
581,dauphin,90,CA,1567281279,68,51.15,-100.04,18,1.5
582,keetmanshoop,0,NA,1567281279,19,-26.57,18.15,15,1.5
583,santa maria,0,BR,1567281279,25,-16.02,-48.01,32,1
585,peniche,20,PT,1567281280,77,39.36,-9.38,19,5.7
586,humboldt,100,CA,1567281280,50,52.21,-105.12,18.75,1.25
587,hamilton,75,CA,1567280994,52,43.26,-79.87,23.33,2.1
588,hanmer springs,0,NZ,1567281281,72,-42.52,172.83,5.75,2.63
589,mweka,100,CD,1567281281,83,-4.85,21.56,22.15,0.96
590,sao joao da barra,0,BR,1567281281,54,-21.64,-41.05,28,8.2
591,mandera,77,ET,1567281282,49,3.94,41.86,27.95,6.84
592,mazamari,64,PE,1567281282,65,-11.33,-74.53,9.35,2.92
593,goderich,62,CA,1567281269,48,43.74,-81.71,24.44,0.89
594,orotukan,100,RU,1567281283,73,62.26,151.67,6.35,0.5
595,ketchikan,40,US,1567281283,77,55.34,-131.65,17,7.7
596,barraute,75,CA,1567281004,48,48.43,-77.63,17.22,3.1
598,uva,62,RU,1567281284,88,56.98,52.19,5,0.45
599,najran,0,SA,1567281284,13,17.54,44.22,30,1.2
601,talnakh,0,RU,1567281285,93,69.49,88.39,10,5
602,neryungri,0,RU,1567281285,97,56.66,124.71,3.95,0.94
604,kolpashevo,99,RU,1567281286,96,58.31,82.9,9.25,3.43
605,le port,40,FR,1567281286,76,42.87,1.37,25,2.24
606,lieksa,96,FI,1567281287,93,63.32,30.02,13.85,1.8
607,oudtshoorn,0,ZA,1567281287,71,-33.59,22.2,10,3.6
608,zhezkazgan,33,KZ,1567281287,62,47.8,67.71,8.25,2.69
